CODOP,Operando,Addr. Mode,Código Máquina Calculado,Bytes por calcular,Total de Bytes
STS,Operando,Directo,5F,1,2
sts,Operando,Extendido,7F,2,3
sts,Operando,IDX,6F,1,2
sts,Operando,IDX1,6F,2,3
sts,Operando,IDX2,6F,3,4
sts,Operando,[D;IDX],6F,1,2
sts,Operando,[IDX2],6F,3,4
STX,Operando,Directo,5E,1,2
stx,Operando,Extendido,7E,2,3
stx,Operando,IDX,6E,1,2
stx,Operando,IDX1,6E,2,3
stx,Operando,IDX2,6E,3,4
stx,Operando,[D;IDX],6E,1,2
stx,Operando,[IDX2],6E,3,4
STY,Operando,Directo,5D,1,2
sty,Operando,Extendido,7D,2,3
sty,Operando,IDX,6D,1,2
sty,Operando,IDX1,6D,2,3
sty,Operando,IDX2,6D,3,4
sty,Operando,[D;IDX],6D,1,2
sty,Operando,[IDX2],6D,3,4
SUBA,Operando,Inmediato,80,1,2
suba,Operando,Directo,90,1,2
suba,Operando,Extendido,B0,2,3
suba,Operando,IDX,A0,1,2
suba,Operando,IDX1,A0,2,3
suba,Operando,IDX2,A0,3,4
suba,Operando,[D;IDX],A0,1,2
suba,Operando,[IDX2],A0,3,4
SUBB,Operando,Inmediato,C0,1,2
subb,Operando,Directo,D0,1,2
subb,Operando,Extendido,F0,2,3
subb,Operando,IDX,E0,1,2
subb,Operando,IDX1,E0,2,3
subb,Operando,IDX2,E0,3,4
subb,Operando,[D;IDX],E0,1,2
subb,Operando,[IDX2],E0,3,4
SUBD,Operando,Inmediato,83,2,3
subd,Operando,Directo,93,1,2
subd,Operando,Extendido,B3,2,3
subd,Operando,IDX,A3,1,2
subd,Operando,IDX1,A3,2,3
subd,Operando,IDX2,A3,3,4
subd,Operando,[D;IDX],A3,1,2
subd,Operando,[IDX2],A3,3,4
SWI,No Operando,Inherente,3F,0,1
TAB,No Operando,Inherente,180E,0,2
TAP,No Operando,Inherente,B702,0,2
TBA,No Operando,Inherente,180F,0,2
TPA,No Operando,Inherente,B720,0,2
